,on_trip_count,money_spent,taxi_free_rate,average_decline_rate,waiting_customers,highest_decline_rate,no_response_call,lowest_decline_rate,total_call,averange_speed,no_response_rate,finished_count,average_waiting_time
271,318.0,676077722.623,"(3287.0, 0.82175)",0.0,"(395, 0)",0.0,238.0,0.0,1370.0,11.4016003996,0.173722627737,419.0,2427.74294671
272,316.0,676077808.822,"(3286.0, 0.8215)",0.0,"(398, 0)",0.0,239.0,0.0,1375.0,10.99776668,0.173818181818,422.0,2424.88958991
273,317.0,676077849.776,"(3286.0, 0.8215)",0.0,"(397, 0)",0.0,241.0,0.0,1380.0,11.243494985,0.174637681159,425.0,2436.22641509
274,320.0,676077914.662,"(3282.0, 0.8205)",0.0,"(398, 0)",0.0,242.0,0.0,1385.0,11.4039886845,0.174729241877,425.0,2451.86915888
275,322.0,676077969.702,"(3280.0, 0.82)",0.0,"(398, 0)",0.0,243.0,0.0,1390.0,11.3722558163,0.174820143885,427.0,2465.57275542
276,327.0,676078068.05,"(3278.0, 0.8195)",0.0,"(395, 0)",0.0,244.0,0.0,1395.0,11.1029143364,0.174910394265,429.0,2494.80182927
277,327.0,676078164.829,"(3274.0, 0.8185)",0.0,"(399, 0)",0.0,244.0,0.0,1400.0,11.3392606113,0.174285714286,430.0,2495.89939024
278,330.0,676078226.438,"(3271.0, 0.81775)",0.0,"(399, 0)",0.0,246.0,0.0,1405.0,11.1145941839,0.175088967972,430.0,2511.07250755
279,330.0,676078313.241,"(3268.0, 0.817)",0.0,"(402, 0)",0.0,246.0,0.0,1410.0,10.8575632741,0.174468085106,432.0,2519.00302115
280,330.0,676078425.705,"(3266.0, 0.8165)",0.0,"(404, 0)",0.0,248.0,0.0,1415.0,10.9410141492,0.175265017668,433.0,2521.17824773
281,330.0,676078518.006,"(3263.0, 0.81575)",0.0,"(407, 0)",0.0,249.0,0.0,1420.0,10.9786924176,0.175352112676,434.0,2525.16616314
282,329.0,676078620.09,"(3260.0, 0.815)",0.0,"(411, 0)",0.0,249.0,0.0,1425.0,10.9024496967,0.174736842105,436.0,2526.0
283,330.0,676078696.73,"(3257.0, 0.81425)",0.0,"(413, 0)",0.0,250.0,0.0,1430.0,11.0487653345,0.174825174825,437.0,2533.18731118
284,330.0,676078797.242,"(3254.0, 0.8135)",0.0,"(416, 0)",0.0,251.0,0.0,1435.0,10.8585758997,0.174912891986,438.0,2536.22356495
285,330.0,676078880.159,"(3254.0, 0.8135)",0.0,"(416, 0)",0.0,252.0,0.0,1440.0,10.7518025008,0.175,442.0,2546.19335347
286,332.0,676078975.389,"(3250.0, 0.8125)",0.0,"(418, 0)",0.0,253.0,0.0,1445.0,10.8032013474,0.17508650519,442.0,2556.66666667
287,334.0,676079017.926,"(3249.0, 0.81225)",0.0,"(417, 0)",0.0,256.0,0.0,1450.0,10.8594289112,0.176551724138,443.0,2569.34328358
288,334.0,676079102.775,"(3245.0, 0.81125)",0.0,"(421, 0)",0.0,257.0,0.0,1455.0,10.6914781971,0.176632302405,443.0,2569.34328358
289,338.0,676079196.351,"(3240.0, 0.81)",0.0,"(422, 0)",0.0,257.0,0.0,1460.0,10.7776272691,0.17602739726,443.0,2590.17699115
290,336.0,676079275.203,"(3239.0, 0.80975)",0.0,"(425, 0)",0.0,257.0,0.0,1465.0,10.55064154,0.17542662116,447.0,2590.54896142
291,336.0,676079330.731,"(3234.0, 0.8085)",0.0,"(430, 0)",0.0,257.0,0.0,1470.0,10.4413188133,0.174829931973,447.0,2590.54896142
292,336.0,676079394.889,"(3233.0, 0.80825)",0.0,"(431, 0)",0.0,258.0,0.0,1475.0,10.3916431663,0.174915254237,450.0,2596.33531157
293,340.0,676079528.12,"(3230.0, 0.8075)",0.0,"(430, 0)",0.0,259.0,0.0,1480.0,10.7686292445,0.175,451.0,2619.54545455
294,337.0,676079610.707,"(3230.0, 0.8075)",0.0,"(433, 0)",0.0,260.0,0.0,1485.0,10.6299762829,0.175084175084,455.0,2609.73372781
295,338.0,676079733.097,"(3227.0, 0.80675)",0.0,"(435, 0)",0.0,260.0,0.0,1490.0,10.1806216992,0.174496644295,457.0,2622.92035398
296,337.0,676079789.791,"(3225.0, 0.80625)",0.0,"(438, 0)",0.0,260.0,0.0,1495.0,10.0762919368,0.173913043478,460.0,2625.13313609
297,335.0,676079824.471,"(3225.0, 0.80625)",0.0,"(440, 0)",0.0,262.0,0.0,1500.0,10.3145217758,0.174666666667,463.0,2619.19642857
298,333.0,676079900.464,"(3225.0, 0.80625)",0.0,"(442, 0)",0.0,263.0,0.0,1505.0,9.72675589647,0.174750830565,467.0,2616.87125749
299,332.0,676079995.906,"(3223.0, 0.80575)",0.0,"(445, 0)",0.0,263.0,0.0,1510.0,9.9775539777,0.17417218543,470.0,2621.62162162
300,334.0,676080007.084,"(3223.0, 0.80575)",0.0,"(443, 0)",0.0,267.0,0.0,1515.0,10.1272419607,0.176237623762,471.0,2636.7761194
301,334.0,676080070.764,"(3222.0, 0.8055)",0.0,"(444, 0)",0.0,269.0,0.0,1520.0,10.1014923853,0.176973684211,473.0,2640.89552239
302,336.0,676080131.059,"(3219.0, 0.80475)",0.0,"(445, 0)",0.0,270.0,0.0,1525.0,10.2730838138,0.177049180328,474.0,2654.24332344
303,337.0,676080223.888,"(3217.0, 0.80425)",0.0,"(446, 0)",0.0,271.0,0.0,1530.0,9.89982870459,0.177124183007,476.0,2663.78698225
304,335.0,676080354.253,"(3216.0, 0.804)",0.0,"(449, 0)",0.0,271.0,0.0,1535.0,9.90374159327,0.17654723127,480.0,2664.59821429
305,334.0,676080432.298,"(3215.0, 0.80375)",0.0,"(451, 0)",0.0,272.0,0.0,1540.0,9.88653104885,0.176623376623,483.0,2667.26865672
306,334.0,676080527.853,"(3212.0, 0.803)",0.0,"(454, 0)",0.0,272.0,0.0,1545.0,10.0654248588,0.176051779935,485.0,2670.76119403
307,333.0,676080602.044,"(3211.0, 0.80275)",0.0,"(456, 0)",0.0,273.0,0.0,1550.0,10.1700680992,0.176129032258,488.0,2669.64071856
308,335.0,676080661.181,"(3209.0, 0.80225)",0.0,"(456, 0)",0.0,275.0,0.0,1555.0,10.0316998698,0.176848874598,489.0,2682.99107143
309,337.0,676080711.387,"(3205.0, 0.80125)",0.0,"(458, 0)",0.0,276.0,0.0,1560.0,10.1396517194,0.176923076923,489.0,2694.54142012
310,336.0,676080841.001,"(3203.0, 0.80075)",0.0,"(461, 0)",0.0,276.0,0.0,1565.0,9.94384047354,0.176357827476,492.0,2692.87833828
311,338.0,676081007.221,"(3198.0, 0.7995)",0.0,"(464, 0)",0.0,276.0,0.0,1570.0,10.1689807629,0.175796178344,492.0,2704.51327434
312,338.0,676081102.074,"(3197.0, 0.79925)",0.0,"(465, 0)",0.0,277.0,0.0,1575.0,10.0350657222,0.175873015873,495.0,2709.38053097
313,339.0,8649663586.39,"(3194.0, 0.7985)",0.0,"(467, 0)",0.0,278.0,0.0,1580.0,10.0029360047,0.175949367089,496.0,2716.10294118
314,343.0,8649663652.31,"(3190.0, 0.7975)",0.0,"(467, 0)",0.0,279.0,0.0,1585.0,9.65682950525,0.176025236593,496.0,2739.2877907
